name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Mohamed Salah,Liverpool,25,RW,1,35.0,1117,9.0,12.40%,0,4,Egypt,1,3,10,1,0
Harry Kane,Tottenham,23,CF,1,60.0,4161,12.5,35.10%,224,1,England,0,2,17,1,0
Sergio Agüero,Manchester+City,29,CF,1,65.0,4046,11.5,9.70%,175,3,Argentina,0,4,11,1,0
Jamie Vardy,Leicester+City,30,CF,1,15.0,2988,8.5,1.50%,161,1,England,0,4,9,0,0
Raheem Sterling,Manchester+City,22,LW,1,45.0,2074,8.0,3.80%,149,1,England,0,2,11,1,0
Romelu Lukaku,Manchester+United,24,CF,1,50.0,3727,11.5,45.00%,221,2,Belgium,0,2,12,1,0
Roberto Firmino,Liverpool,25,SS,1,38.0,2196,8.5,20.30%,180,3,Brazil,0,3,10,1,0
Alexandre Lacazette,Arsenal,26,CF,1,40.0,1183,10.5,26.50%,0,2,France,1,3,1,1,0
Gabriel Jesus,Manchester+City,20,CF,1,30.0,4254,10.5,15.20%,67,3,Brazil,0,1,11,1,1
Eden Hazard,Chelsea,26,LW,1,75.0,4220,10.5,2.30%,224,2,Belgium,0,3,5,1,0
Riyad Mahrez,Leicester+City,26,RW,1,30.0,1753,8.5,1.70%,120,4,Algeria,0,3,9,0,0
Glenn Murray,Brighton+and+Hove,33,CF,1,3.5,496,6.0,1.30%,0,1,England,0,5,3,0,0
Son Heung-min,Tottenham,25,LW,1,30.0,2185,8.0,1.60%,174,4,South Korea,0,3,17,1,0
Marko Arnautovic,Stoke+City,28,LW,1,15.0,579,7.0,0.70%,117,1,England,0,4,15,0,0
Christian Eriksen,Tottenham,25,AM,1,40.0,1130,9.5,12.00%,218,2,Denmark,0,3,17,1,0
Sadio Mané,Liverpool,25,LW,1,40.0,3219,9.5,5.30%,156,4,Senegal,0,3,10,1,1
Luka Milivojevic,Crystal+Palace,26,DM,2,10.0,407,5.0,0.20%,42,2,Serbia,0,3,6,0,0
Wayne Rooney,Everton,31,SS,1,15.0,7664,7.5,20.90%,76,1,England,0,4,7,0,0
Álvaro Morata,,31,SS,1,15.0,7664,7.5,20.90%,76,1,Spain,0,4,7,0,0
Pierre-Emerick Aubameyang,Aresnal,25,LW,1,30.0,2185,8.0,1.60%,174,4,Gabon,0,3,17,1,0
